"word","pronunciation","Chinese definition","definition","example sentence","insights","composition","synonyms","antonyms","拼字聯想法"
"trench","/trɛntʃ/","壕溝","a long, narrow ditch","Soldiers took cover in the trenches.","From Old French 'trenche,' meaning a cut or groove.","no prefix, root: trench","ditch, channel","-","聯想到戰場上挖的深壕溝。"
"tribute","/ˈtrɪb.juːt/","致敬；貢品","something given to show respect or honor","They laid flowers as a tribute to the hero.","From Latin 'tributum,' meaning payment or contribution.","no prefix, root: trib, suffix: -ute","homage, respect","criticism","聯想到表示敬意或感謝的方式。"
"trifle","/ˈtraɪ.fəl/","瑣事","a thing of little importance","Don’t waste time on trifles.","From Old French 'trufle,' meaning mockery or jest.","no prefix, root: trifle","triviality, inconsequence","importance, priority","聯想到微不足道的小事。"
"trim","/trɪm/","修剪","to cut or decorate to a desired size","She trimmed the bushes in the garden.","From Old English 'trymman,' meaning to strengthen or arrange.","no prefix, root: trim","cut, prune","-","聯想到對植物或毛髮進行修剪。"
"triple","/ˈtrɪp.əl/","三倍的","three times the amount or size","The company’s revenue tripled in five years.","From Latin 'triplus,' meaning threefold.","no prefix, root: trip, suffix: -le","threefold, triple","single","聯想到數量增加到三倍。"
"trot","/trɒt/","小跑","a jogging pace for animals, especially horses","The horse trotted along the path.","From Old French 'trotter,' meaning to move briskly.","no prefix, root: trot","jog, pace","walk, standstill","聯想到馬匹快速行進的步伐。"
"trout","/traʊt/","鱒魚","a type of freshwater fish","They caught a large trout in the river.","From Old English 'truht,' a type of fish.","no prefix, root: trout","fish","-","聯想到水裡的鱒魚，常見於河川。"
"tuck","/tʌk/","塞進","to push or fold something into a small space","She tucked the napkin into her shirt.","From Old English 'tucian,' meaning to torment or punish (now obsolete meaning).","no prefix, root: tuck","fold, insert","-","聯想到把物品塞進某個空隙。"
"tuition","/tjuːˈɪʃ.ən/","學費","the money paid for teaching or instruction","Tuition fees are high at this university.","From Latin 'tuitionem,' meaning protection or instruction.","no prefix, root: tut, suffix: -ion","fees, charges","-","聯想到支付學費給學校或教師。"
"tuna","/ˈtuː.nə/","鮪魚","a large fish often used in canned food","We had tuna sandwiches for lunch.","From American Spanish 'tuna,' meaning a type of fish.","no prefix, root: tuna","fish","-","聯想到魚罐頭或鮪魚料理。"
"tyrant","/ˈtaɪ.rənt/","暴君","a cruel and oppressive ruler","The king was seen as a tyrant by his people.","From Latin 'tyrannus,' meaning ruler or master.","no prefix, root: tyrant","dictator, despot","democrat, liberator","聯想到殘暴的統治者。"
"umpire","/ˈʌm.paɪər/","裁判","a person who officiates at a sports event","The umpire made a fair decision.","From Old French 'nompere,' meaning odd number or arbiter.","no prefix, root: umpire","referee, judge","player","聯想到運動場上裁決比賽的裁判。"
"undergraduate","/ˌʌn.dəˈɡræd.ju.ət/","大學生","a student pursuing a bachelor's degree","She is an undergraduate at the university.","From 'under' and 'graduate,' meaning a student not yet graduated.","prefix: under, root: graduate","student","graduate","聯想到尚未畢業的學士學位學生。"
"underline","/ˌʌn.dəˈlaɪn/","強調；劃底線","to draw a line under text or emphasize something","Please underline the main points in the essay.","From 'under' and 'line,' meaning below the line.","prefix: under, root: line","emphasize, highlight","downplay","聯想到用底線標示重要內容。"
"underneath","/ˌʌn.dəˈniːθ/","在…下面","situated below or beneath","He hid the key underneath the mat.","From 'under' + 'neath,' an archaic word for below.","prefix: under, root: neath","below, beneath","above, on top","聯想到在某物的下方。"
"understandable","/ˌʌn.dəˈstæn.də.bəl/","可以理解的","able to be understood or comprehended","Her reaction was understandable.","From 'understand,' meaning to grasp mentally.","prefix: under, root: stand, suffix: -able","comprehensible, clear","incomprehensible","聯想到一個合乎常理、容易理解的情況。"
"undoubtedly","/ʌnˈdaʊ.tɪd.li/","無疑地","without question; certainly","He is undoubtedly the best candidate.","From 'undoubted,' meaning without doubt.","prefix: un, root: doubt, suffix: -edly","certainly, clearly","doubtfully, questionably","聯想到沒有疑問的情況或事物。"
"update","/ˌʌpˈdeɪt/","更新","to bring something to a newer state","She updated her software.","From 'up,' meaning higher, and 'date,' meaning current time.","prefix: up, root: date","refresh, upgrade","outdated","聯想到讓軟體或資料變得更現代。"
"upright","/ˈʌp.raɪt/","直立的；正直的","in a vertical position or morally correct","He sat upright in his chair.","From Old English 'upright,' meaning vertical or erect.","prefix: up, root: right","vertical, honest","lying, corrupt","聯想到垂直或端正的姿勢。"
"upward","/ˈʌp.wərd/","向上的","moving toward a higher position","The balloon floated upward.","From 'up' and 'ward,' meaning toward the top.","prefix: up, suffix: -ward","ascending, rising","downward","聯想到往上升或提升。"
"utter","/ˈʌt.ər/","完全的；說出","to speak or express or to indicate complete","She uttered a single word.","From Old English 'uttra,' meaning outer or complete.","no prefix, root: utter","speak, complete","partial, silence","聯想到說出或完全表達。"
"vacancy","/ˈveɪ.kən.si/","空缺","an unoccupied position or place","There is a vacancy for a teacher in our school.","From Latin 'vacare,' meaning to be empty.","root: vac, suffix: -ancy","opening, position","filled position","聯想到公司或組織中的空位。"
"vacuum","/ˈvæk.juːm/","真空","a space devoid of matter","They sealed the product in a vacuum.","From Latin 'vacuus,' meaning empty.","no prefix, root: vac, suffix: -uum","void, emptiness","fullness","聯想到完全無空氣的空間。"
"vague","/veɪɡ/","模糊的","not clear or defined","His explanation was vague.","From Latin 'vagus,' meaning wandering or uncertain.","no prefix, root: vague","unclear, ambiguous","clear, definite","聯想到不清楚或模糊的概念。"
"vanity","/ˈvæn.ə.ti/","虛榮","excessive pride or concern with one's appearance","His vanity led him to spend hours in front of the mirror.","From Latin 'vanitas,' meaning emptiness or worthlessness.","no prefix, root: van, suffix: -ity","pride, arrogance","modesty, humility","聯想到過度在意自己外表或聲望。"
"vapor","/ˈveɪ.pər/","蒸汽","a substance diffused or suspended in the air","The bathroom mirror was covered in vapor after the shower.","From Latin 'vapor,' meaning steam or mist.","no prefix, root: vapor","steam, mist","solid","聯想到空氣中的水氣或霧氣。"
"vegetation","/ˌvɛdʒ.ɪˈteɪ.ʃən/","植物","plants considered collectively","The region is rich in vegetation.","From Latin 'vegetatio,' meaning growth or life.","root: veget (grow), suffix: -ation","flora, plants","-","聯想到自然環境中的各種植物。"
"veil","/veɪl/","面紗","a piece of cloth used to cover the face or head","She wore a white veil on her wedding day.","From Latin 'velum,' meaning a covering or sail.","no prefix, root: veil","cover, shroud","expose","聯想到覆蓋臉部的薄紗。"
"vein","/veɪn/","靜脈","a blood vessel that carries blood to the heart","The nurse located a vein to draw blood.","From Latin 'vena,' meaning blood vessel.","no prefix, root: vein","blood vessel","artery","聯想到身體內的血管系統。"
"velvet","/ˈvɛl.vɪt/","天鵝絨","a soft, luxurious fabric with a smooth texture","She wore a red velvet dress.","From Old French 'velu,' meaning hairy or fleecy.","no prefix, root: velvet","plush, fabric","-","聯想到柔軟而光滑的布料。"
"venture","/ˈvɛn.tʃər/","冒險","to take a risky journey or undertaking","He ventured into the jungle.","From Latin 'adventurus,' meaning about to happen.","no prefix, root: venture","undertake, risk","avoid","聯想到探索或冒險性行為。"
"verbal","/ˈvɜː.bəl/","口頭的","related to words or spoken language","They reached a verbal agreement.","From Latin 'verbum,' meaning word.","no prefix, root: verb, suffix: -al","oral, spoken","written","聯想到口語或用言語表達的協議。"
"versus","/ˈvɜː.səs/","對抗","used to indicate opposition","It's Team A versus Team B in the finals.","From Latin 'versus,' meaning against.","no prefix, root: versus","against, opposing","-","聯想到比賽中兩者之間的對決。"
"vertical","/ˈvɜː.tɪ.kəl/","垂直的","upright, perpendicular to the horizon","The cliff face was almost vertical.","From Latin 'verticalis,' meaning relating to the vertex.","root: vert (turn), suffix: -ical","upright, perpendicular","horizontal","聯想到與水平垂直的方向。"
"veto","/ˈviː.toʊ/","否決","the power to reject a decision or proposal","The president used his veto on the bill.","From Latin 'vetare,' meaning to forbid.","no prefix, root: veto","reject, prohibit","approve, endorse","聯想到對提案的否決權。"
"via","/ˈvaɪ.ə/","通過；經由","through or by way of","She traveled to France via London.","From Latin 'via,' meaning road or way.","no prefix, root: via","through, by","-","聯想到穿越某地到達目的地。"
"vibrate","/ˈvaɪ.breɪt/","震動","to move back and forth quickly","The phone vibrated on the table.","From Latin 'vibrare,' meaning to shake.","no prefix, root: vibr, suffix: -ate","shake, oscillate","still","聯想到快速震動的動作。"
"videotape","/ˈvɪd.i.oʊˌteɪp/","錄影帶","a magnetic tape for recording images and sound","They watched an old videotape.","From 'video,' meaning visual, and 'tape,' a strip of material.","root: video, root: tape","recording, cassette","-","聯想到記錄影像的磁帶。"
"viewer","/ˈvjuː.ər/","觀眾","a person who watches something, like television","The show attracted millions of viewers.","From 'view,' meaning sight, and 'er,' a person.","root: view, suffix: -er","audience, watcher","performer","聯想到電視或影片的觀看者。"
"vigor","/ˈvɪɡ.ər/","精力","physical strength or good health","He tackled the task with vigor.","From Latin 'vigere,' meaning to be lively or strong.","no prefix, root: vigor","energy, vitality","lethargy","聯想到充沛的精力和活力。"
"vigorous","/ˈvɪɡ.ər.əs/","精力充沛的","full of energy and strength","She made a vigorous effort to complete the project.","From Latin 'vigorosus,' meaning full of energy.","root: vigor (energy), suffix: -ous","energetic, lively","weak, lethargic","聯想到充滿活力和精力充沛的表現。"
"villain","/ˈvɪl.ən/","反派","a character whose actions oppose the hero","The villain in the story was very cunning.","From Old French 'vilain,' meaning farm laborer, later associated with bad character.","no prefix, root: villain","antagonist, rogue","hero","聯想到小說或電影中的邪惡角色。"
"vine","/vaɪn/","葡萄藤；藤蔓","a plant with long stems that grows along surfaces","The vine grew up the wall.","From Latin 'vinea,' meaning vineyard.","no prefix, root: vine","creeper, climber","tree","聯想到植物沿著表面攀爬。"
"violinist","/ˌvaɪəˈlɪn.ɪst/","小提琴家","a person who plays the violin","The violinist performed beautifully on stage.","From 'violin' + '-ist,' meaning a person who plays an instrument.","root: violin, suffix: -ist","musician, performer","listener","聯想到演奏小提琴的藝術家。"
"visa","/ˈviː.zə/","簽證","an official authorization to enter or stay in a country","She applied for a visa to visit France.","From Latin 'charta visa,' meaning inspected paper.","no prefix, root: visa","permit, authorization","denial","聯想到進入他國時需要的文件。"
"vow","/vaʊ/","誓言","a solemn promise or to make such a promise","He made a vow to help his family.","From Latin 'votum,' meaning a promise or wish.","no prefix, root: vow","pledge, promise","-","聯想到莊嚴地承諾。"
"wade","/weɪd/","涉水而行","to walk through water or other liquid","They waded through the shallow river.","From Old English 'wadan,' meaning to go or advance.","no prefix, root: wade","paddle, ford","-","聯想到在淺水中行走。"
"wail","/weɪl/","哀嚎","to make a loud, mournful cry","The child wailed when he lost his toy.","From Old English 'wælan,' meaning to lament or cry out.","no prefix, root: wail","cry, lament","laugh","聯想到悲傷時的哭喊聲。"
"ward","/wɔːrd/","病房；守護","a division in a hospital or to protect","He was admitted to the hospital ward.","From Old English 'weard,' meaning protection.","no prefix, root: ward","section, protect","neglect","聯想到醫院的病房或守護之意。"
"ware","/weər/","商品；器皿","goods or products, especially for sale","The store sells kitchen ware.","From Old English 'waru,' meaning goods.","no prefix, root: ware","goods, merchandise","-","聯想到商店中出售的商品或器皿。"
"warehouse","/ˈweər.haʊs/","倉庫","a building where goods are stored","The company stores products in a warehouse.","From 'ware,' meaning goods, and 'house,' a place of storage.","root: ware, root: house","depot, storage","-","聯想到儲存商品的大型建築。"
"warrior","/ˈwɒr.i.ər/","戰士","a person who fights in battle","He was a brave warrior on the battlefield.","From Old North French 'werreier,' meaning fighter.","no prefix, root: warrior","fighter, soldier","peacemaker","聯想到戰場上英勇的士兵。"
"wary","/ˈweə.ri/","謹慎的","cautious and alert","She was wary of the strange noises outside.","From Old English 'wær,' meaning careful.","no prefix, root: wary","cautious, watchful","careless, unwary","聯想到保持謹慎，以免發生危險。"
"weary","/ˈwɪə.ri/","疲憊的","very tired or exhausted","The journey left him weary.","From Old English 'werig,' meaning tired.","no prefix, root: weary","tired, fatigued","energetic, refreshed","聯想到長時間的疲勞或疲倦。"
"weird","/wɪəd/","奇怪的","strange or unusual","The story had a weird ending.","From Old English 'wyrd,' meaning fate or destiny.","no prefix, root: weird","strange, odd","normal, usual","聯想到異於尋常的奇特現象。"
"wharf","/wɔːrf/","碼頭","a platform built beside water for loading and unloading ships","The ship docked at the wharf.","From Old English 'hwearf,' meaning embankment.","no prefix, root: wharf","dock, pier","-","聯想到船隻停泊和裝卸貨物的地方。"
"wheelchair","/ˈwiːl.tʃeər/","輪椅","a chair with wheels for people who cannot walk","The hospital provides wheelchairs for patients.","From 'wheel' and 'chair,' meaning a mobile seat.","root: wheel, root: chair","mobility aid","-","聯想到幫助行動不便者移動的工具。"
"whereabouts","/ˈweə.rə.baʊts/","下落","the location of something or someone","The police investigated his whereabouts.","From 'where' + 'abouts,' meaning location or position.","root: where, suffix: -abouts","location, position","-","聯想到某人或某物的具體位置。"
"whereas","/ˌweərˈæz/","然而；反之","in contrast or on the other hand","He likes tea, whereas she prefers coffee.","From 'where' and 'as,' used to contrast two clauses.","root: where, root: as","while, however","similarly","聯想到兩件事物之間的對比。"
"whine","/waɪn/","抱怨","a high-pitched, complaining sound or to make such a sound","The dog whined at the door.","From Old English 'hwinan,' meaning to make a shrill sound.","no prefix, root: whine","complain, moan","praise","聯想到持續的抱怨聲。"
"whirl","/wɜːl/","旋轉","to spin or turn quickly","The leaves whirled in the wind.","From Old English 'hwirflian,' meaning to turn or revolve.","no prefix, root: whirl","spin, twirl","stand still","聯想到快速旋轉的動作。"
"whisk","/wɪsk/","攪拌；迅速帶走","to beat or stir or to move quickly","She whisked the eggs for the recipe.","From Old Norse 'visk,' meaning to move briskly.","no prefix, root: whisk","stir, mix","-","聯想到快速攪拌或帶走某物。"
"whiskey/whisky","/ˈwɪs.ki/","威士忌","a distilled alcoholic drink made from grain","He ordered a glass of whiskey.","From Gaelic 'uisce beatha,' meaning water of life.","no prefix, root: whiskey","-","-","聯想到烈性酒的濃烈味道。"
"wholesale","/ˈhoʊl.seɪl/","批發","the sale of goods in large quantities","They bought the supplies wholesale.","From 'whole' and 'sale,' meaning selling in bulk.","root: whole, root: sale","bulk, mass","retail","聯想到大批量購買商品。"
"wholesome","/ˈhoʊl.səm/","有益健康的","promoting good health","The soup is made with wholesome ingredients.","From Old English 'hal,' meaning whole or healthy.","no prefix, root: whole, suffix: -some","healthy, nourishing","unhealthy","聯想到有益於健康的食品。"
"widespread","/ˈwaɪd.spred/","廣泛的","found or distributed over a large area","The disease became widespread.","From 'wide' + 'spread,' meaning widely occurring.","root: wide, root: spread","common, extensive","rare, limited","聯想到覆蓋範圍廣的現象。"
"widow","/ˈwɪd.oʊ/","寡婦","a woman whose spouse has died","She became a widow at a young age.","From Old English 'widewe,' meaning widow.","no prefix, root: widow","bereaved wife","widower","聯想到喪偶的女性。"
"widower","/ˈwɪd.oʊ.ər/","鰥夫","a man whose spouse has died","He was a widower for many years.","From Old English 'widewa,' meaning widow (male).","no prefix, root: widower","bereaved husband","widow","聯想到喪偶的男性。"
"wig","/wɪɡ/","假髮","a covering for the head made of synthetic or real hair","She wore a wig to the party.","From Dutch 'periwik,' meaning periwig or head covering.","no prefix, root: wig","hairpiece","-","聯想到假髮或裝飾性頭髮。"
"wilderness","/ˈwɪl.də.nəs/","荒野","a wild, uninhabited area","They went camping in the wilderness.","From Old English 'wildēornes,' meaning a wild area.","no prefix, root: wild, suffix: -ness","backcountry, forest","city, civilization","聯想到遠離人群的自然區域。"
"wildlife","/ˈwaɪld.laɪf/","野生動物","animals that live in natural environments","The park is home to a lot of wildlife.","From 'wild' + 'life,' meaning animals living naturally.","root: wild, root: life","fauna","domestic animals","聯想到自然環境中的各種野生動物。"
"wither","/ˈwɪð.ər/","枯萎","to dry up or lose vitality","The flowers withered in the heat.","From Old English 'weðerian,' meaning to dry up.","no prefix, root: wither","dry, wilt","flourish, bloom","聯想到植物因缺水而逐漸枯萎。"
"woe","/woʊ/","悲痛","great sorrow or distress","He shared tales of his woes with friends.","From Old English 'wa,' meaning grief or sorrow.","no prefix, root: woe","misery, anguish","joy, happiness","聯想到極度的悲痛或不幸。"
"woodpecker","/ˈwʊdˌpek.ər/","啄木鳥","a bird that pecks at tree bark to find insects","We saw a woodpecker in the forest.","From 'wood,' meaning tree, and 'pecker,' meaning one who pecks.","root: wood, root: pecker","bird","-","聯想到森林中敲打樹木的鳥。"
"workshop","/ˈwɜːrk.ʃɒp/","工作坊","a place for doing practical work or a training session","They attended a workshop on pottery.","From 'work,' meaning to perform, and 'shop,' meaning place.","root: work, root: shop","seminar, session","-","聯想到學習或創作的場所。"
"worship","/ˈwɜːr.ʃɪp/","崇拜","to show reverence and adoration for a deity","They worship at the temple every Sunday.","From Old English 'weorðscip,' meaning to honor.","root: worth, suffix: -ship","revere, venerate","disregard, disrespect","聯想到敬拜或崇敬。"
"worthwhile","/ˈwɜːrθ.waɪl/","值得的","worth the time, money, or effort","Helping others is always worthwhile.","From 'worth' and 'while,' meaning valuable.","root: worth, root: while","valuable, beneficial","pointless, useless","聯想到有意義或值得的活動。"
"worthy","/ˈwɜːr.ði/","值得的；有價值的","deserving respect or attention","He is a worthy candidate for the award.","From Old English 'weorð,' meaning value.","no prefix, root: worthy","deserving, respectable","unworthy","聯想到配得上的價值。"
"wreath","/riːθ/","花圈；花環","a ring of flowers or leaves often used as a decoration","They placed a wreath on the memorial.","From Old English 'writha,' meaning band or ring.","no prefix, root: wreath","garland, crown","-","聯想到花圈或裝飾用的花環。"
"wring","/rɪŋ/","擰乾","to twist and squeeze to remove liquid","He wrung the water from the towel.","From Old English 'wringan,' meaning to twist.","no prefix, root: wring","twist, squeeze","-","聯想到擰出布料中的水分。"
"yacht","/jɒt/","遊艇","a recreational boat","They sailed on a luxurious yacht.","From Dutch 'jacht,' meaning a fast ship.","no prefix, root: yacht","boat, vessel","-","聯想到豪華的小船或遊艇。"
"yarn","/jɑːrn/","紗線","thread made from fibers for knitting or weaving","She bought colorful yarn for knitting.","From Old English 'gearn,' meaning spun wool.","no prefix, root: yarn","thread, wool","-","聯想到用於編織的紗線。"
"yeast","/jiːst/","酵母","a fungus used in baking and brewing","Yeast helps bread rise.","From Old English 'gist,' meaning leavening agent.","no prefix, root: yeast","leaven, ferment","-","聯想到用於發酵的酵母。"
"yield","/jiːld/","產出；屈服","to produce or give way","The farm yields a lot of crops each season.","From Old English 'gieldan,' meaning to pay or produce.","no prefix, root: yield","produce, surrender","resist, withhold","聯想到農場產出或讓步。"
"yoga","/ˈjoʊ.ɡə/","瑜伽","a practice for physical and mental wellness","She practices yoga every morning.","From Sanskrit 'yoga,' meaning union or discipline.","no prefix, root: yoga","exercise, meditation","-","聯想到心靈與身體的練習。"
"zinc","/zɪŋk/","鋅","a bluish-white metallic element","Zinc is often used to prevent rust.","From German 'Zink,' meaning the element zinc.","no prefix, root: zinc","metal","-","聯想到防銹的金屬元素。"
"zip","/zɪp/","拉鍊；快速移動","a fastener or to move quickly","He zipped up his jacket.","From imitative sound of zipping movement.","no prefix, root: zip","fasten, move quickly","-","聯想到拉鍊的拉合聲音或快速行動。"
"zone","/zoʊn/","區域","an area with a particular use or purpose","This is a quiet zone in the library.","From Greek 'zonē,' meaning a belt or girdle.","no prefix, root: zone","area, region","-","聯想到特定用途的區域。"
"zip code","/ˈzɪp koʊd/","郵遞區號","a postal code used for sorting mail","The zip code for that area is 12345.","From 'zone improvement plan' code.","root: zip, root: code","postal code","-","聯想到郵件分類用的數字編碼。"
"zoom","/zuːm/","急速移動","to move quickly or to focus in closely","The car zoomed past us on the highway.","Imitative of a fast movement sound.","no prefix, root: zoom","speed, accelerate","crawl","聯想到迅速移動的聲音或行動。"
