"output","[`aʊt͵pʊt]","出產；生產","The amount of something produced; to produce something.","The factory's output has increased this year.","'Output' is made of 'out-', meaning outward, and 'put', meaning to place or position.","prefix: out- (outward), root: put, suffix: none","production, yield","input","聯想法：'Output' 聯想到 'put out'，表示將產品或成果輸出。"
"outsider","[`aʊt`saɪdɚ]","局外人","A person not involved in a particular group or activity.","As a newcomer, he felt like an outsider at the party.","From 'outside', meaning not within a specific group, and '-er', indicating a person.","prefix: out- (outside), root: side, suffix: -er (person)","stranger, nonparticipant","insider","聯想法：'Outsider' 聯想到 'outside' + 'er'，即站在外面的人，表示局外人。"
"outskirts","[`aʊt͵skɝts]","郊區","The areas surrounding the outskirts of a city or town.","They live on the outskirts of the city.","From 'out-', meaning outside, and 'skirts', referring to the edge or border.","prefix: out- (outside), root: skirts, suffix: none","suburbs, edge","center, downtown","聯想法：'Outskirts' 聯想到 'outside' 和 'skirt'（邊緣），表示城市的外圍。"
"outward","[`aʊtwɚd]","往外去的(地)","Directed toward the outside or external.","His outward appearance seemed calm, but he was nervous inside.","From 'out-', meaning outside, and '-ward', indicating direction.","prefix: out- (outside), root: none, suffix: -ward (direction)","external, outside","inward","聯想法：'Outward' 聯想到 'out' 和 'ward'（方向），即向外的方向。"
"outward(s)","[ˈaʊtwədz]","往外去","Toward the outside.","The ship sailed outwards toward the horizon.","Outwards is a variant of 'outward' with an additional '-s' indicating direction.","prefix: out- (outside), root: none, suffix: -wards (direction)","outside, externally","inwards","聯想法：'Outwards' 和 'outward' 相似，聯想成 '向外' 的動作或方向。"
"overall","[`ovɚ͵ɔl]","全部的；大體上來說","Complete or including everything; generally speaking.","Overall, the project was a success.","From 'over', meaning above or complete, and 'all', meaning everything.","prefix: over- (above), root: all, suffix: none","total, general","partial","聯想法：'Overall' 可以聯想到 'over' 和 'all'，即全覆蓋，表示全部。"
"overdo","[͵ovɚ`du]","做得過分","To do something too much or to an excessive degree.","Be careful not to overdo the spices in the recipe.","From 'over-', meaning excessively, and 'do', meaning to perform.","prefix: over- (excessively), root: do, suffix: none","exaggerate, overindulge","underdo","聯想法：'Overdo' 可以聯想到 'over' 和 'do'，即做得太過分。"
"overeat","[`ovɚ`it]","過度飲食","To eat too much food.","She felt sick after overeating at the party.","From 'over-', meaning excessively, and 'eat', meaning to consume food.","prefix: over- (excessively), root: eat, suffix: none","binge, stuff oneself","under-eat","聯想法：'Overeat' 聯想到 'over' 和 'eat'，即吃得太多。"
"overflow","[`ovɚ`flo]","氾濫","To flow over the edges of something, often causing a mess.","The river overflowed after the heavy rain.","From 'over-', meaning beyond, and 'flow', meaning to move along.","prefix: over- (beyond), root: flow, suffix: none","flood, spill over","dry up","聯想法：'Overflow' 聯想到 'over' 和 'flow'，即超過邊界的流動，導致溢出。"
"overhear","[͵ovɚ`hɪr]","無意中聽到","To accidentally hear a conversation not intended for you.","I overheard them talking about the surprise party.","From 'over-', meaning beyond or above, and 'hear', meaning to listen.","prefix: over- (beyond), root: hear, suffix: none","eavesdrop, catch","ignore","聯想法：'Overhear' 聯想到 'over' 和 'hear'，即聽到別人無意中說的話。"
"oversleep","[`ovɚ`slip]","睡過頭","To sleep longer than intended or miss something due to oversleeping.","I missed my meeting because I overslept.","From 'over-', meaning excessively, and 'sleep', meaning to rest.","prefix: over- (excessively), root: sleep, suffix: none","sleep in","wake up early","聯想法：'Oversleep' 聯想到 'over' 和 'sleep'，即睡過頭。"
"overwhelm","[͵ovɚ`hwɛlm]","戰勝；淹沒","To overpower or flood someone emotionally or physically.","She was overwhelmed with joy at the news.","From 'over-', meaning excessively, and 'whelm', meaning to engulf or submerge.","prefix: over- (excessively), root: whelm, suffix: none","overpower, devastate","underwhelm","聯想法：'Overwhelm' 聯想到 'over' 和 'whelm'，即被淹沒，情感或壓力過於強烈。"
"overwork","[`ovɚ`wɝk]","過度工作","To work too much or too hard.","She was exhausted from overworking all week.","From 'over-', meaning excessively, and 'work', meaning to perform tasks.","prefix: over- (excessively), root: work, suffix: none","overexert, fatigue","relax","聯想法：'Overwork' 聯想到 'over' 和 'work'，即工作過度。"
"oyster","[`ɔɪstɚ]","蛤蠣","A type of shellfish commonly found in coastal waters, often eaten raw or cooked.","The restaurant served fresh oysters on the half shell.","The word 'oyster' comes from the Old French 'oistre' and Latin 'ostrea', meaning shellfish.","prefix: none, root: oyster, suffix: none","shellfish, mollusk","none","聯想法：'Oyster' 聯想到海洋的貝類，外殼堅硬。"
"ozone","[`ozon]","臭氧","A gas composed of three oxygen atoms, often found in the Earth's stratosphere.","The ozone layer protects us from harmful UV radiation.","The word 'ozone' comes from the Greek word 'ozein', meaning to smell, due to its distinct scent.","prefix: none, root: ozone, suffix: none","none","none","聯想法：'Ozone' 聯想到臭氧層的保護作用。"
"pacific","[pə`sɪfɪk]","和平的","Relating to peace or promoting calmness and harmony.","The pacific nature of the treaty brought stability to the region.","'Pacific' comes from the Latin word 'pacificus', meaning 'peace-making'.","prefix: paci- (peace), root: none, suffix: -fic (making)","peaceful, calm","hostile, aggressive","聯想法：'Pacific' 可以聯想到 '和平' 和太平洋。"
"packet","[`pækɪt]","小包裹","A small package or parcel.","She received a packet of seeds in the mail.","'Packet' comes from Middle French 'pacquet', meaning a small parcel.","prefix: none, root: packet, suffix: none","parcel, package","none","聯想法：'Packet' 可以聯想到一個小包裹，容易攜帶。"
"paddle","[`pæd!]","槳","A flat, often long tool used for steering or propelling a boat through the water.","He rowed the boat with a wooden paddle.","'Paddle' originates from Old English 'padil', referring to an oar or small boat.","prefix: none, root: paddle, suffix: none","oar, pole","none","聯想法：'Paddle' 聯想到划船時用的槳。"
"paradox","[`pærə͵dɑks]","自相矛盾的人事物","A statement or situation that appears contradictory but may reveal a truth.","The paradox of freedom is that it often comes with responsibilities.","From Greek 'paradoxon', meaning contrary to expectation.","prefix: para- (beyond), root: dox (opinion), suffix: none","contradiction, irony","none","聯想法：'Paradox' 聯想到 'para'（超越）和 'dox'（意見），代表超越常識的矛盾。"
"pane","[pen]","窗玻璃","A single sheet of glass in a window or door.","The broken pane of glass let in a cold breeze.","'Pane' comes from the Old French 'pan', meaning a section or panel.","prefix: none, root: pane, suffix: none","sheet, glass","none","聯想法：'Pane' 聯想到玻璃窗的單片。"
"parallel","[`pæ rə͵lɛl]","平行的；並聯的","Two or more lines that are always the same distance apart and never meet.","The two roads run parallel to each other.","From Greek 'parallēlos', meaning alongside one another.","prefix: para- (beside), root: lelos (each other), suffix: none","equidistant, corresponding","perpendicular","聯想法：'Parallel' 可以聯想到兩條永不相交的線。"
"parlor","[`pɑrlɚ]","起居室","A room in a house used for receiving guests.","They gathered in the parlor to discuss business.","'Parlor' comes from the Old French 'parler', meaning to speak.","prefix: none, root: parler (speak), suffix: none","living room, sitting room","none","聯想法：'Parlor' 聯想到房子裡接待客人的房間。"
"participant","[pɑr`tɪsəpənt]","參與者","Someone who takes part in an event or activity.","Each participant was given a number for the race.","From Latin 'participare', meaning to share or take part in something.","prefix: parti- (part), root: cip (take), suffix: -ant","attendee, member","spectator","聯想法：'Participant' 可以聯想到 'participate'（參加），即參與活動的人。"
"particle","[`pɑrtɪk!]","微粒","A very small piece or amount of something.","There was a particle of dust floating in the air.","From Latin 'particula', meaning a small part or portion.","prefix: none, root: partic (part), suffix: -le","speck, fragment","mass","聯想法：'Particle' 聯想到微小的部分，像塵埃一樣。"
"partly","[`pɑrtlɪ]","部分地","To some extent but not completely.","The room was partly painted when they ran out of paint.","From Old French 'part', meaning a piece or portion.","prefix: none, root: part, suffix: -ly","partially, somewhat","completely, fully","聯想法：'Partly' 聯想到部分完成的事物。"
"passionate","[`pæ ʃənɪt]","熱情的","Showing or caused by strong feelings or beliefs.","She is passionate about her art and spends hours painting.","From Latin 'passionatus', meaning moved by strong feelings.","prefix: none, root: passion, suffix: -ate","enthusiastic, fervent","indifferent, dispassionate","聯想法：'Passionate' 聯想到對某事物充滿熱情的感覺。"
"pastime","[`pæs͵taɪm]","消遣、娛樂","An activity that someone does for enjoyment when not working.","Gardening is her favorite pastime.","From Middle English 'passen' (pass) and 'time', meaning to pass the time.","prefix: none, root: pass, suffix: time","hobby, diversion","work","聯想法：'Pastime' 可以聯想到 'pass time'，即打發時間的活動。"
"pastry","[`pestrɪ]","酥皮點心","A dough of flour, water, and fat that is baked and often filled with sweet or savory fillings.","She made delicious pastries for breakfast.","From Middle French 'pastisserie', meaning baked goods.","prefix: none, root: past (dough), suffix: -ry","dessert, tart","none","聯想法：'Pastry' 聯想到用酥皮製作的甜點。"
"patch","[pæ tʃ]","補釘；貼片","A small piece of material used to cover a hole or reinforce a weak spot.","He sewed a patch on his jacket where it was torn.","From Old English 'pacche', meaning a piece of cloth.","prefix: none, root: patch, suffix: none","repair, fix","tear","聯想法：'Patch' 可以聯想到一個用來修補破損的布片。"
"patent","[`pæ tnt]","專利","An exclusive right granted for an invention.","He applied for a patent for his new invention.","From Latin 'patentem', meaning 'lying open' or 'evident'.","prefix: none, root: patent, suffix: none","license, right","none","聯想法：'Patent' 聯想到發明家在保護自己新創的權利。"
"patriot","[`petrɪət]","愛國者","A person who vigorously supports their country.","The patriot proudly waved the flag during the parade.","From Greek 'patrios', meaning 'of one's fathers' or 'homeland'.","prefix: none, root: patri (fatherland), suffix: -ot (person)","nationalist, loyalist","traitor","聯想法：'Patriot' 聯想到 'patri-'（祖國）+ 'ot'（人），即愛國的人。"
"patrol","[pə`trol]","巡邏","To walk or travel around an area to monitor or guard it.","The guards patrol the building every night.","From Old French 'patrouiller', meaning to tramp around in mud.","prefix: none, root: patrol, suffix: none","guard, monitor","neglect","聯想法：'Patrol' 可以聯想到警察或守衛在某地巡邏以維持安全。"
"patron","[`petrən]","贊助者；主顧","A person who supports or funds an organization or activity, often as a regular customer.","The museum relied on patrons for donations.","From Latin 'patronus', meaning protector or supporter.","prefix: none, root: patron, suffix: none","sponsor, benefactor","none","聯想法：'Patron' 聯想到贊助者幫助維持藝術或活動。"
"peacock","[`pikɑk]","孔雀","A large bird known for its colorful, eye-spotted tail feathers.","The peacock displayed its feathers to attract a mate.","'Peacock' comes from the Old English 'pea' for the bird and 'cock', meaning a male bird.","prefix: none, root: peacock, suffix: none","none","none","聯想法：'Peacock' 聯想到這種鳥類華麗的羽毛。"
"peasant","[`pɛznt]","佃農","A farmer or agricultural laborer of low social status.","The peasants worked the land for their landlord.","From Latin 'pagus', meaning 'country district'.","prefix: none, root: peas, suffix: -ant","farmer, laborer","noble","聯想法：'Peasant' 可以聯想到低階農民的勞動生活。"
"peck","[pɛk]","啄","To strike or bite something with a beak.","The bird pecked at the seeds on the ground.","From Middle English 'pecken', meaning to pick with the beak.","prefix: none, root: peck, suffix: none","bite, nibble","none","聯想法：'Peck' 聯想到小鳥用喙快速啄食。"
"peddler","[`pɛdlɚ]","小販","A person who travels from place to place selling small goods.","The peddler sold trinkets in the market.","From Middle English 'ped', meaning basket or pouch for carrying goods.","prefix: none, root: peddle, suffix: -er (person)","vendor, hawker","customer","聯想法：'Peddler' 聯想到沿街叫賣的小販。"
"peek","[pik]","偷看；窺視","To look quickly or secretly at something.","He peeked through the keyhole to see what was happening inside.","From Middle English 'piken', meaning to look at.","prefix: none, root: peek, suffix: none","glance, spy","stare","聯想法：'Peek' 可以聯想到偷偷瞄一眼的動作。"
"peg","[pɛg]","栓；樁","A small hook or pin used for holding things or marking a position.","She hung her coat on the peg near the door.","From Middle English 'pegge', referring to a wooden pin.","prefix: none, root: peg, suffix: none","hook, pin","none","聯想法：'Peg' 聯想到固定衣物或東西的掛鉤。"
"penetrate","[`pɛnə͵tret]","穿透","To pass through or into something, often forcefully or with difficulty.","The bullet penetrated the wall.","From Latin 'penetratus', meaning to enter or pass through.","prefix: pene- (through), root: none, suffix: -trate","pierce, infiltrate","block","聯想法：'Penetrate' 聯想到穿透物體或困難。"
"perceive","[pɚ`siv]","察覺；感知","To become aware of or understand something through the senses.","She perceived a slight change in his tone.","From Latin 'percipere', meaning to take in completely.","prefix: per- (thoroughly), root: ceive (take), suffix: none","sense, recognize","ignore","聯想法：'Perceive' 聯想到透過感官察覺到的細微變化。"
"perch","[pɝtʃ]","棲木；棲息","A spot for a bird to rest or for someone to sit at a high place; to sit or rest on something.","The bird perched on the branch.","From Old French 'perche', meaning a pole or rod.","prefix: none, root: perch, suffix: none","roost, sit","descend","聯想法：'Perch' 聯想到鳥停在樹枝上的姿態。"
"performer","[pɚ`fɔrmɚ]","表演者","A person who acts, sings, dances, or entertains others in public.","The performer received a standing ovation for her act.","From Latin 'performare', meaning to carry out or accomplish.","prefix: per- (thoroughly), root: form, suffix: -er","entertainer, artist","audience","聯想法：'Performer' 聯想到舞台上表演的藝術家。"
"peril","[`pɛrəl]","危險的事物","Serious and immediate danger.","The explorers faced great peril on their journey.","From Latin 'periculum', meaning danger or risk.","prefix: none, root: peril, suffix: none","danger, risk","safety","聯想法：'Peril' 聯想到一種即將面臨的危險。"
"perish","[`pɛrɪʃ]","消滅；枯萎","To die or be destroyed, often in a violent or sudden way.","Many soldiers perished in the battle.","From Old French 'perir', meaning to die.","prefix: none, root: perish, suffix: none","die, decay","survive","聯想法：'Perish' 聯想到消逝或死亡的過程。"
"permissible","[pɚ`mɪsəb!]","可允許的","Allowed by law or rules.","It is permissible to bring food into the park.","From Latin 'permittere', meaning to allow or let go.","prefix: per- (through), root: miss (send), suffix: -ible","allowable, acceptable","forbidden","聯想法：'Permissible' 聯想到可被允許的事情。"
"persist","[pɚ`sɪst]","堅持(說)","To continue doing something despite difficulties or opposition.","He persisted in his efforts to learn the language.","From Latin 'persistere', meaning to stand firm.","prefix: per- (thoroughly), root: sist (stand), suffix: none","persevere, continue","give up","聯想法：'Persist' 聯想到持續不懈的努力。"
"personnel","[͵pɝsn`ɛl]","(總稱)人員","The people employed in an organization or company.","The company has over 500 personnel working worldwide.","From French 'personnel', meaning staff or employees.","prefix: none, root: person, suffix: -nel","staff, employees","none","聯想法：'Personnel' 聯想到公司或組織的員工總數。"
"pessimism","[`pɛsəmɪzəm]","悲觀主義","A belief that the worst will happen or that things will go badly.","His pessimism about the future was evident in his speech.","From Latin 'pessimus', meaning the worst.","prefix: pess- (worst), root: none, suffix: -ism","negativity, cynicism","optimism","聯想法：'Pessimism' 聯想到總是期望最壞結果的心態。"
"pier","[pɪr]","碼頭","A structure built out into the water for ships to dock or people to walk on.","They went for a walk along the pier at sunset.","From Middle English 'pere', meaning pillar or support.","prefix: none, root: pier, suffix: none","dock, wharf","none","聯想法：'Pier' 聯想到碼頭延伸入水的建築。"
"pilgrim","[`pɪlgrɪm]","朝聖者；香客","A person who journeys to a sacred place for religious reasons.","The pilgrims traveled for days to reach the holy site.","From Latin 'peregrinus', meaning traveler or foreigner.","prefix: none, root: pilgrim, suffix: none","traveler, devotee","none","聯想法：'Pilgrim' 聯想到朝聖者長途跋涉的旅程。"
"pillar","[`pɪlɚ]","柱子","A tall, vertical structure used to support a building.","The pillars held up the roof of the ancient temple.","From Latin 'pila', meaning a pillar or stone barrier.","prefix: none, root: pillar, suffix: none","column, post","none","聯想法：'Pillar' 聯想到建築物中支撐重量的柱子。"
"pimple","[`pɪmp!]","面皰","A small raised red spot on the skin, often filled with pus.","She had a pimple on her forehead.","From Middle English 'pimpel', meaning small growth or swelling.","prefix: none, root: pimple, suffix: none","zit, blemish","none","聯想法：'Pimple' 聯想到皮膚上的小紅疙瘩。"
"pinch","[pɪntʃ]","擰；夾","To squeeze something between two surfaces, often painfully.","He pinched his fingers in the door.","From Old English 'pincian', meaning to squeeze or nip.","prefix: none, root: pinch, suffix: none","squeeze, nip","release","聯想法：'Pinch' 聯想到手指擰住或夾住某物的感覺。"
"piss","[pɪs]","小便","To urinate.","He needed to piss before the long car ride.","From Old French 'pissier', meaning to urinate.","prefix: none, root: piss, suffix: none","urinate, pee","none","聯想法：'Piss' 聯想到小便的動作和聲音。"
"pistol","[`pɪst!]","手槍","A small firearm designed to be held in one hand.","The officer carried a pistol on his belt.","From Middle French 'pistole', meaning a small firearm.","prefix: none, root: pistol, suffix: none","handgun, revolver","none","聯想法：'Pistol' 聯想到可單手持握的小型武器。"
"plague","[pleg]","瘟疫；鼠疫；討厭的人","A contagious bacterial disease or something that causes distress or annoyance.","The Black Plague killed millions in the 14th century.","From Latin 'plaga', meaning a blow or stroke.","prefix: none, root: plague, suffix: none","epidemic, scourge","blessing","聯想法：'Plague' 聯想到歷史上的瘟疫或讓人苦惱的事物。"
"plantation","[plæn`teʃən]","農園；造林地","A large estate or farm where crops such as cotton, sugar, or tobacco are grown.","The workers on the plantation harvested sugarcane.","From Spanish 'plantacion', meaning the action of planting.","prefix: plant- (grow), root: none, suffix: -ation","estate, farm","none","聯想法：'Plantation' 聯想到大規模種植作物的農場。"
"playwright","[`ple͵raɪt]","劇作家","A person who writes plays.","Shakespeare is one of the most famous playwrights in history.","'Playwright' comes from the combination of 'play' and 'wright', meaning one who creates.","prefix: none, root: play, suffix: wright","dramatist, scriptwriter","none","聯想法：'Playwright' 聯想到創作劇本的人。"
